,survey,random_order,reason,translation,roy_categorized
4768,ecv2021,4768,RUMEURS SUR LE VACCINS DE COVID 19,RUMORS ABOUT THE COVID-19 VACCINES,NA
4769,ecv2020,4769,Agent encore inferieur,Still lower agent,NA
4770,ecv2020,4770,LE MOMENT DE VACCINATION NOUS AU CHAMP,THE VACCINATION MOMENT IN THE FIELD,NA
4771,ecv2020,4771,La m�re de l'enfant �tait dans le campement,The child's mother was in the camp.,NA
4772,ecv2020,4772,La maman d�clare que l'enfant est totalement vaccin� mais elle n'amener pas sa fiche au centre.,The mother states that the child is fully vaccinated but she did not bring the record to the center.,NA
4773,ecv2020,4773,L'enfant n'a pas encore atteint 9 mois pour recevoir le VAR et VAA,The child has not yet reached 9 months to receive the VAR and VAA.,NA
4774,ecv2022,4774,INDISPONIBILITE DE LA MERE,UNAVAILABILITY OF THE MOTHER,NA
4775,ecv2021,4775,VOYAGE DE TOUTE LA FAMILLE,Trip for the whole family,NA
4776,ecv2020,4776,absence de maman toujours au champ,absence of mom always in the field,NA
4777,ecv2020,4777,CALENDRIER VACCINALE EN COUR,CURRENT VACCINATION SCHEDULE,NA
4778,ecv2020,4778,"MANQUE DES VACCINS A L,HOPITAL",LACK OF VACCINES AT THE HOSPITAL,NA
4779,ecv2021,4779,ROTA3  PAS DISPONIBLE,ROTA3 NOT AVAILABLE,NA
4780,ecv2020,4780,LE VOYAGE DE LA MERE DE L'ENFANT,THE JOURNEY OF THE CHILD'S MOTHER,NA
4781,ecv2020,4781,IGNORANCE ET NEGLIGENCE,Ignorance and negligence,NA
4782,ecv2020,4782,Le  calendrier en cours,The current calendar,NA
4783,ecv2020,4783,ON ATTEND LE DERNIER VACCIN,WAITING FOR THE LAST VACCINE,NA
4784,ecv2020,4784,Enfant ne et grandit dans le campement,Child born and raised in the camp.,NA
4785,ecv2020,4785,D�PLACEMENT DU LIEU PR�VU POUR LA VACCINATION,RELOCATION OF THE SCHEDULED VACCINATION SITE,NA
4786,ecv2021,4786,VACCINER MAIS NON COCHER,VACCINATED BUT NOT CHECKED,NA
4787,ecv2021,4787,"RUPTURE,","BREAK,",NA
4788,ecv2021,4788,Demander  aux infirmiers,Ask the nurses,NA
4789,ecv2020,4789,REFUS DE LA MAMA,Breastfeeding Refusal,NA
4790,ecv2020,4790,"ELLE ATTEND L'AGE DE 9MOIS POUR TERMINE D'AUTRES VACCINS (VAR , ET VAA)",SHE WAITS UNTIL THE AGE OF 9 MONTHS TO FINISH OTHER VACCINATIONS (VAR AND VAA),NA
4791,ecv2021,4791,OUBLIE PAR LE CS DE BENAKALALA DE MARQUÉ LE VACCINS REÇU PAR SON ENFANT,FORGOTTEN BY THE CS OF BENAKALALA TO MARK THE VACCINES RECEIVED BY HIS CHILD,NA
4792,ecv2022,4792,ERREUR PERSONNEL,PERSONNEL ERROR,NA
4793,ecv2020,4793,FATIGUE DELA MERE,Mother's fatigue,NA
4794,ecv2022,4794,VACCINE MAIS NON MENTIONE SUR LA FICHE,VACCINE BUT NOT MENTIONED ON THE RECORD,NA
4795,ecv2021,4795,PAS DES VACCINS,NO VACCINES,NA
4796,ecv2021,4796,PERSONNELS DE SANTE EN GRÈVE,HEALTHCARE STAFF ON STRIKE,NA
4797,ecv2020,4797,Le CS a ferm� depuis un moment,The CS has been closed for a while,NA
4798,ecv2020,4798,"APRES AVOIR RECU LE VACCIN, L'ENFANT FAIT TOUJOURS LA FIEVRE ET SI ON L'AMENE  AU CENTRE, LES INFIRMIERS DEMANDENT TOUJOURS DE L'ARGENT MEME POUR LUI DONNER LE PARAC�TAMOL","AFTER RECEIVING THE VACCINE, THE CHILD STILL HAS A FEVER AND IF WE TAKE HIM TO THE CENTER, THE NURSES ALWAYS ASK FOR MONEY EVEN TO GIVE HIM PARACETAMOL.",NA
4799,ecv2020,4799,IL N'AVAIT PAS ASSEZ D'ENFANTS A LA SEANCE POUR OUVRIR LE FLACON VAA ET VAR,THERE WERE NOT ENOUGH CHILDREN AT THE SESSION TO OPEN THE VAA AND VAR VIAL,NA
4800,ecv2020,4800,L'ENFANT NE ET VIE AU CAMPEMENT LOIN DU VILLAGE.,THE CHILD WAS BORN AND LIVES AT THE CAMP FAR FROM THE VILLAGE.,NA
4801,ecv2020,4801,Crainte COVID-19,Fear of COVID-19,NA
4802,ecv2022,4802,LE PS  NE DISPOSE PAS LE VACCIN,THE PS DOES NOT HAVE THE VACCINE,NA
4803,ecv2020,4803,INDISPONIBILITE DE LA M�RE,UNAVAILABILITY OF THE MOTHER,NA
4804,ecv2020,4804,L'ENFANT TOUJOURS MALADE DEPUIS SA NAISSANCE ET SON PREMIER ENFAT EST REST� INFIRME A CAUSE DU VACCIN,THE CHILD HAS BEEN ILL SINCE BIRTH AND HER FIRST CHILD REMAINED DISABLED BECAUSE OF THE VACCINE.,NA
4805,ecv2021,4805,NOUS ÉTIONS  CHAMP,WE WERE CHAMPIONS,NA
4806,ecv2021,4806,BCG NON DISPONIBLE,BCG NOT AVAILABLE,NA
4807,ecv2020,4807,NEGLIGENCE DE LA MERE,MOTHER'S NEGLIGENCE,NA
4808,ecv2021,4808,FAMILLE EN VOYAGE DANS LA BROUSSE,Family Traveling in the Bush,NA
4809,ecv2020,4809,N�GLIGENCE ET ALA RECHERCHE DE QUOI MANG�,NEGLIGENCE AND THE SEARCH FOR WHAT TO EAT,NA
4810,ecv2020,4810,LE DEPLACEMENT DE LA MERE DE L'ENFANT,THE MOVEMENT OF THE CHILD'S MOTHER,NA
4811,ecv2020,4811,RUPTURE  EN SAB,RUPTURE IN SAB,NA
4812,ecv2020,4812,CALENRIER EN COUR,CALENDAR IN PROGRESS,NA
4813,ecv2021,4813,NEGLIGENCE DE LA MERE P0UR LA VACCINATION,Negligence of the mother for vaccination,NA
4814,ecv2020,4814,Rupture en BCG,BCG discontinuation,NA
4815,ecv2020,4815,N�GLIGENCE DES PARENTS,Parental Negligence,NA
4816,ecv2020,4816,IRREGULARITE DES SEANCES DE VACCINATION,Irregularity of vaccination sessions,NA
4817,ecv2022,4817,PARCE QUE MON ENFANT COMMENCAIT DEJA A MARCHER,BECAUSE MY CHILD WAS ALREADY STARTING TO WALK,NA
4818,ecv2020,4818,MOMENT DE VACCINATION INCONNU ET CERTAINS VACCINS SONT EN COURS,UNKNOWN TIME OF VACCINATION AND SOME VACCINES ARE ONGOING,NA
4819,ecv2020,4819,N�gligence de la mere,Neglect by the mother,NA
4820,ecv2021,4820,LANEGLIGENCE,NEGLIGENCE,NA
4821,ecv2020,4821,DEPLACEMENT DE LA MAMAN POUR MALADIE DE L'ENFANT,MOTHER'S TRAVEL DUE TO CHILD'S ILLNESS,NA
4822,ecv2022,4822,PAS ACCES D'ENFANT POUR OUVRIR LE FLACON,NO CHILD ACCESS TO OPEN THE BOTTLE,NA
4823,ecv2021,4823,ELLE OUBLIÉ,SHE FORGOT,NA
4824,ecv2020,4824,RESTE VAA et VAR,REST VAA and VAR,NA
4825,ecv2020,4825,A SUIVI TOUT LE CALENDRIER,FOLLOWED THE ENTIRE SCHEDULE,NA
4826,ecv2020,4826,IGNORE L'IMPORTANCE DE LA VACCINATION,IGNORE THE IMPORTANCE OF VACCINATION,NA
4827,ecv2022,4827,"LE CENTRE DE SANTE EST TRES LOIN, LE PROGRAMME DE VACCINATION N'ESG PAS CONNU, NOS ENFANTS ONT FU MAL A ETRE VACCINE","THE HEALTH CENTER IS VERY FAR, THE VACCINATION PROGRAM IS NOT WELL KNOWN, OUR CHILDREN HAD DIFFICULTY GETTING VACCINATED",NA
4828,ecv2020,4828,Travail du champs au campement,Work from the field to the campsite,NA
4829,ecv2020,4829,LES AUTRES MOLECULE A 9MOIS,THE OTHER MOLECULES AT 9 MONTHS,NA
4830,ecv2020,4830,ENFANT A MOIN DE 9 MOIS,CHILD UNDER 9 MONTHS OLD,NA
4831,ecv2020,4831,Elle est encore tr�s jeune pour les injections,She is still very young for injections.,NA
4832,ecv2020,4832,LA VACCINATION N'ARRIVE PAS AUX ILOTS,VACCINATION DOES NOT REACH THE ISLETS,NA
4833,ecv2020,4833,PAS ASSEZ DE TEMPS CAR PR�SENCE PROLONG�E AUX CHAMPS,NOT ENOUGH TIME BECAUSE OF PROLONGED PRESENCE IN THE FIELDS,NA
4834,ecv2020,4834,Absence des vaccins,Lack of vaccines,NA
4835,ecv2021,4835,LA FORMATION SANITAIRE AVAIT FERME,THE HEALTH FACILITY HAD CLOSED,NA
4836,ecv2021,4836,N’A PAS SUIVI LE COMMUNIQUÉ,DID NOT FOLLOW THE RELEASE,NA
4837,ecv2021,4837,PAS DE VACCINATION A CAUSE DE GREVE,NO VACCINATION DUE TO STRIKE,NA
4838,ecv2020,4838,ENFANT VACCINE MAIS OUBLIE DECARNET,VACCINATED CHILD BUT FORGOT THE RECORD,NA
4839,ecv2020,4839,VOYAGES DE LA M�RE,TRAVELS OF THE MOTHER,NA
4840,ecv2021,4840,SA MERE ÉTAIT AU  CHAMP,HIS MOTHER WAS IN THE FIELD,NA
4841,ecv2020,4841,FAIBLESSE DE LA PART DE SA MERE,WEAKNESS ON THE PART OF HIS MOTHER,NA
4842,ecv2020,4842,Absence de la m�re dans le milieu,Absence of the mother in the environment,NA
4843,ecv2021,4843,VOYAGE DE LA MÈRE  POUR  UN DEUIL,MOTHER'S TRAVEL FOR A MOURNING,NA
4844,ecv2021,4844,LA NÉGLIGENCE DE LA MERE,The Mother's Negligence,NA
4845,ecv2021,4845,DEPLACEMENT DE SA MERE,MOVEMENT OF HIS MOTHER,NA
4846,ecv2020,4846,rumeurs sur r�duction de le reproduction,rumors about reduction of reproduction,NA
4847,ecv2020,4847,NEGLIGENCE ET ABSENCE,Negligence and Absence,NA
4848,ecv2020,4848,A cause de la circoncision de l'enfant,Because of the circumcision of the child,NA
4849,ecv2020,4849,Nous �tions � la ferme avec l'enfant .,We were at the farm with the child.,NA
4850,ecv2020,4850,VERO n'a pas encore totalis� 9 mois pour recevoir le VAR et VAA,VERO has not yet completed 9 months to receive the VAR and VAA.,NA
4851,ecv2022,4851,"L’ENFANT EST BIEN VACCINE SELON ELLE, MAIS ILS ONT OUBLIES D’ECRIRE LES DATE5","THE CHILD IS WELL VACCINATED ACCORDING TO HER, BUT THEY FORGOT TO WRITE THE DATES",NA
4852,ecv2022,4852,NEGLIGENCE ON IRA,Negligence on IRA,NA
4853,ecv2021,4853,FAUTE AU PRESTATAIRE QUI A DONNÉ LES VACCINS RIEN NE SIGNALÉ SUR LA CARTE,FAULT OF THE SERVICE PROVIDER WHO GAVE THE VACCINES NOTHING INDICATED ON THE CARD,NA
4854,ecv2020,4854,FORTE FIEVRE,High fever,NA
4855,ecv2022,4855,DEMENAGER AU CHAMP,MOVING TO THE COUNTRYSIDE,NA
4856,ecv2020,4856,J ' �TAIS � LA FERME AVEC L' ENFANT,I WAS AT THE FARM WITH THE CHILD,NA
4857,ecv2020,4857,L'ENFANT A TOUT RECU MAIS LE VACCINATAIRE NON RIEN ECRIT,THE CHILD RECEIVED EVERYTHING BUT THE VACCINATOR DID NOT WRITE ANYTHING,NA
4858,ecv2022,4858,REFUS DES PARENTS,Parental Refusal,NA
4859,ecv2020,4859,IGNORENCE DE L'EXISTENCE DE VACCIN DES ROUTUNE,IGNORANCE OF THE EXISTENCE OF ROUTINE VACCINES,NA
4860,ecv2022,4860,RUPTURE DE STOCK VPO ET VPO 3,OUT OF STOCK VPO AND VPO 3,NA
4861,ecv2020,4861,MERE EMPECHE,MOTHER PREVENTS,NA
4862,ecv2020,4862,OUBLIE DU JOUR DE RDV,FORGOT THE APPOINTMENT DAY,NA
4863,ecv2020,4863,DEPLACEMENT DE LA POPULATION,POPULATION DISPLACEMENT,NA
4864,ecv2021,4864,"IL A RECU TOUT LE VACCIN, C 'EST L 'ERRUR DU CENTRE SI CELA NE PAS MENTIONNE","HE RECEIVED ALL THE VACCINE, IT'S THE CENTER'S ERROR IF IT'S NOT MENTIONED.",NA
4865,ecv2020,4865,M�RE OCCUP�E PAR SES TRAVAUX,BUSY MOTHER WITH HER WORK,NA
4866,ecv2021,4866,GARDER PAR SA GRAND MERE ET NEE AU NIVEAU DE LA FERME EN BROUSSE,Raised by her grandmother and born on a farm in the bush,NA
4867,ecv2021,4867,ONT FUIT LES ATROCITES DE TCHEE,FLED THE ATROCITIES OF TCHEE,NA
4868,ecv2020,4868,L'EFFECTIF N'EST PAS ATTEINT POUR OUVRIR UN FLACON,The number of staff is insufficient to open a vial.,NA
4869,ecv2020,4869,ELLE ETAIT AU CAMPAGNE DE CHAMP,SHE WAS IN THE COUNTRYSIDE OF CHAMP,NA
4870,ecv2020,4870,Pas encore atteint neuf mois,Not yet reached nine months,NA
4871,ecv2022,4871,INSECURITE ALIBUKU,INSECURITY ALIBUKU,NA
4872,ecv2020,4872,L'ENFANT N'A PAS ENCORE ATTEINT L'AGE DE 9MOI,The child has not yet reached the age of 9 months.,NA
4873,ecv2021,4873,ENFANT ABANDONE,ABANDONED CHILD,NA
4874,ecv2021,4874,NÉGLIGENCE DE LA MAMAN,MOTHER'S NEGLIGENCE,NA
4875,ecv2020,4875,HABITE CAMPEMENT,LIVES IN CAMP,NA
4876,ecv2020,4876,L'enfant n'a pas encore atteint l'�ge de 9mois pour recevoir VAAetVAR,The child has not yet reached the age of 9 months to receive MCV and MMR.,NA
4877,ecv2022,4877,CAMPEMENT,CAMP,NA
4878,ecv2021,4878,LES INFIRMIERS EN GREVE,THE NURSES ON STRIKE,NA
4879,ecv2020,4879,Pas de s�ance organis�e,No session organized,NA
4880,ecv2021,4880,MAMAN INSISTE QUE L'ENFANT AVAIT REÇU TOUT LES VACCINS,MOTHER INSISTS THAT THE CHILD HAD RECEIVED ALL THE VACCINES,NA
4881,ecv2020,4881,Parfois pas des des vaccins le jour de RDV,Sometimes there are no vaccines on the appointment day.,NA
4882,ecv2020,4882,RUMEURS SUR LE LIEN QUI EXISTE ENTRE LA VACCINATION ET LA PROPAGATION DE COVID-19,RUMORS ABOUT THE LINK BETWEEN VACCINATION AND THE SPREAD OF COVID-19,NA
4883,ecv2020,4883,RUMEURS SUR LE FAIT QUE LE CORONA VIRUS EST INOCUL� PAR LA VACCINATION,RUMORS THAT THE CORONAVIRUS IS INOCULATED THROUGH VACCINATION,NA
4884,ecv2021,4884,ENFANT NE A LA FERME,CHILD BORN ON THE FARM,NA
4885,ecv2022,4885,NOMBRE DES ENFANTS DOIT FAIRE AU MOINS 10,NUMBER OF CHILDREN MUST BE AT LEAST 10,NA
4886,ecv2020,4886,Lorsque je vaccine les enfants durant toute cette periode ne vont que tomber malade,When I vaccinate the children during this entire period they will only get sick.,NA
4887,ecv2020,4887,POUR RIEN,FOR NOTHING,NA
4888,ecv2020,4888,PARAISSE ET N�GLIGENCE,LAZINESS AND NEGLIGENCE,NA
4889,ecv2021,4889,NON MENTIONNE,NOT MENTIONED,NA
4890,ecv2020,4890,FAIBLESSE D�S MEMBRE INF�RIEUR DE L'ENFANT,WEAKNESS OF THE CHILD'S LOWER LIMB,NA
4891,ecv2021,4891,LES DATES NON MENTION DANS LA CARTE DE VACCINATION,DATES NOT MENTIONED IN THE VACCINATION CARD,NA
4892,ecv2020,4892,IGNORE LA NECESSITE D AUTRES VACCIN,IGNORE THE NEED FOR OTHER VACCINES,NA
4893,ecv2020,4893,Absence lors de s�ance,Absence during session,NA
4894,ecv2020,4894,ATTITUDE N�GATIVE FACE � LA VACCINATION,NEGATIVE ATTITUDE TOWARDS VACCINATION,NA
4895,ecv2020,4895,'SANDRA RECEVRA LE VAA ET LEVAR � 9MOiS,'SANDRA WILL RECEIVE THE VAA AND LEVAR AT 9 MONTHS.',NA
4896,ecv2021,4896,L' ENFANT ETAIT VACCINER  A VAA ET VAR MAIS LE PRESTATAIRE N'A PAS ECRIT SUR LA CARTE DE VACCINATION,THE CHILD WAS VACCINATED WITH VAA AND VAR BUT THE PROVIDER DID NOT WRITE IT ON THE VACCINATION CARD,NA
4897,ecv2021,4897,L'ENFANT N'A PAS ENCORE ATTEINT L'AGE,The child has not yet reached the age,NA
4898,ecv2020,4898,La structure n'a pas organis� les s�ances de vaccination depuis l!apparution de cobid-19,The institution has not organized vaccination sessions since the appearance of COVID-19.,NA
4899,ecv2021,4899,REFRIGERATEUR  EN PANNE( NON FONCTIONNEL  IL YA DE CELA 30 JOURS),REFRIGERATOR OUT OF ORDER (NON-FUNCTIONAL FOR 30 DAYS),NA
4900,ecv2020,4900,LA MAMAN AVAIT VOYAG�,THE MOM HAD TRAVELED,NA
4901,ecv2020,4901,Suit son calendrier pour compl�ter sa derni�re dose de VAA et VAA,Follow their schedule to complete their final dose of AAV and AAV,NA
4902,ecv2022,4902,NEGLIGEANCE,Negligence,NA
4903,ecv2022,4903,NÉGLIGENCE DE LA MÈRE DE L'ENFANT,Negligence of the child's mother,NA
4904,ecv2021,4904,DEPKACEMENT DE LA FAMILLE ET GREVE DES INFIRMIERS,FAMILY MOVEMENT AND NURSES' STRIKE,NA
4905,ecv2020,4905,A a peine 9 moins,Barely 9 months,NA
4906,ecv2020,4906,Les vaccins sont utilis�s pour rendre nos enfants infertiles lorsqu'ils seront adultes,Vaccines are used to make our children infertile when they become adults,NA
4907,ecv2020,4907,Absences de la m�re de l'enfant,Absences of the child's mother,NA
4908,ecv2021,4908,LES INFIRMIERS  SONT EN GREVE,THE NURSES ARE ON STRIKE,NA
4909,ecv2020,4909,L'ENFANT A 7 MOIS,THE CHILD IS 7 MONTHS OLD,NA
4910,ecv2020,4910,Maladie de la mere a corrompu l'axe a la vaccination de l'enfant,The mother's illness has disrupted the child's vaccination schedule.,NA
4911,ecv2020,4911,� cause de l'argent,Because of the money,NA
4912,ecv2020,4912,OUBLIE D'ALLER A LA CPS,FORGOT TO GO TO THE CPS,NA
4913,ecv2020,4913,D'habitudes je ne fais pas vacciner mes enfants car il n'ya pas d'int�r�t.,"Usually, I don't have my children vaccinated because there's no point.",NA
4914,ecv2022,4914,MANQUE DU TEMPS,LACK OF TIME,NA
4915,ecv2021,4915,GREVE DUPERSONNEL,STAFF STRIKE,NA
4916,ecv2020,4916,LA NEGLIGENCE,NEGLIGENCE,NA
4917,ecv2022,4917,PARENTS IGNORANTS SANS AUCUNE INFORMATION SUR LA VACCINATION DES ENFANTS,IGNORANT PARENTS WITH NO INFORMATION ABOUT CHILD VACCINATION,NA
4918,ecv2020,4918,LA N�GLIGENCE DE LA MAMAN DE L ENFANT,THE NEGLIGENCE OF THE CHILD'S MOTHER,NA
4919,ecv2022,4919,PERTE DE VU POUR REVENIR TERMINER,LOSS OF SIGHT TO RETURN FINISH,NA
4920,ecv2022,4920,DÉPLACEMENTS DE LA MÈRE,Movements of the Mother,NA
4921,ecv2022,4921,J’ETAIS MALADE,I was sick.,NA
4922,ecv2022,4922,LE VACCIN ENTRAINE L ANEMIE,THE VACCINE CAUSES ANEMIA,NA
4923,ecv2021,4923,"APRÈS LA PREMIÈRE VACCINATION, L'ENFANT FUT TOMBÉ MALADE D'OÙ LA  PEUR DE L'AMENER POUR LA  SUITE","AFTER THE FIRST VACCINATION, THE CHILD FELL ILL, HENCE THE FEAR OF BRINGING HIM FOR THE FOLLOW-UP.",NA
4924,ecv2020,4924,Voyage de la m�re,Mother's journey,NA
4925,ecv2020,4925,MORT DE LA PORT DE SON MARI,DEATH OF HER HUSBAND,NA
4926,ecv2022,4926,PARESSE DE LA MERE DE L'ENFANT ET AUSSI LE CS EST LOIN SELON LA MERE DE L'ENFANT,MOTHER'S LAZINESS AND ALSO THE SCHOOL IS FAR ACCORDING TO THE MOTHER OF THE CHILD,NA
4927,ecv2020,4927,MANQUE D'UNE BONNE COMMUNICATION DE LA PART DES VACCINATEURS,LACK OF GOOD COMMUNICATION FROM THE VACCINATORS,NA
4928,ecv2020,4928,CALENDRIER VACCINAL EN COURS ENFANT MOINS  DE 9MOIS,CURRENT VACCINATION SCHEDULE FOR CHILDREN UNDER 9 MONTHS,NA
4929,ecv2020,4929,IL lui reste le VAR et VAA prcequ'il n'a pas encore atteint 9mois,He still has the VAR and VAA left because he hasn't reached 9 months yet.,NA
4930,ecv2020,4930,EN ATTENTE DU RENDEZ VOUS POUR LE 20/10/2020,AWAITING THE APPOINTMENT FOR 10/20/2020,NA
4931,ecv2020,4931,IL ETAIT EN VOYAGE AVEC SA MERE,HE WAS TRAVELING WITH HIS MOTHER,NA
4932,ecv2020,4932,Pas atteint 09mois,Not reached 9 months,NA
4933,ecv2020,4933,ON ATTEND LE RENDEZ-VOUS DE 9MOIS,WE ARE WAITING FOR THE 9-MONTH APPOINTMENT,NA
4934,ecv2021,4934,MÈRE MALADE ÉPILEPTIQUE,EPILEPTIC SICK MOTHER,NA
4935,ecv2022,4935,ACTIVITES CHAMPETRE,Rural Activities,NA
4936,ecv2022,4936,PAS D’HABITATIONS  FIXE.,NO FIXED HOUSING.,NA
4937,ecv2020,4937,L'ENFANT EST AU RENDEZ-VOUS.,THE CHILD IS AT THE MEETING.,NA
4938,ecv2020,4938,L'ENFANT  N'A PAS ENCORE ATTEINT 9 MOIS,THE CHILD IS NOT YET 9 MONTHS OLD,NA
4939,ecv2020,4939,TRAVAUX CHAMP�TRE,FIELD WORK,NA
4940,ecv2022,4940,LE NOMBRE D ENFANT N AVAIS PAS ATTEIND DIX ENFANTS POUR QU ON LEURS DONNE,THE NUMBER OF CHILDREN HAD NOT REACHED TEN CHILDREN FOR THEM TO BE GIVEN,NA
4941,ecv2020,4941,Attitude difficile des Angolais qui n'aiment pas,Difficult attitude of Angolans who do not like,NA
4942,ecv2020,4942,DEPLACEMENT POUR  TRAVAUX  DE CHAMP,TRAVEL FOR FIELD WORK,NA
4943,ecv2020,4943,MERE �TAIT SOUFFRANTE,MOTHER WAS ILL,NA
4944,ecv2020,4944,L'enfant n'a pas encore atteint neuf mois pour prendre d'autres anti g�ne qui reste,The child has not yet reached nine months to take other remaining antigens.,NA
4945,ecv2021,4945,"CONTEXT COVID 19
DIMUNITION DE FRÉQUENTATION
QUUANT A  LA VACCINATION DE ROUTINE   DES ENFANTS","COVID-19 CONTEXT
DECREASE IN ATTENDANCE
REGARDING ROUTINE CHILDHOOD VACCINATIONS",NA
4946,ecv2020,4946,OCCUPATIONS PROFESSIONNELLES ET FAMILIALES,Professional and Family Occupations,NA
4947,ecv2022,4947,ABANDON D'Y ALLER,Giving up going there,NA
4948,ecv2022,4948,NEGLIGENCES DE LA MERE,Negligence of the Mother,NA
4949,ecv2021,4949,OUBLIE DE LA MAMAN DE S’EMMENAIT AVEC LA FICHE DE L’ENFANT AU RENDEZ-VOUS  DES VACCINS.,FORGOT TO BRING THE CHILD'S FORM TO THE VACCINATION APPOINTMENT.,NA
4950,ecv2022,4950,VACCINATION DE L'ENFANT CONTRE LA FIEVRE TYPHOIDE,CHILD VACCINATION AGAINST TYPHOID FEVER,NA
4951,ecv2020,4951,RUMEURS AUTOUR DE LA VACCINATION,RUMORS ABOUT VACCINATION,NA
4952,ecv2020,4952,Nombre d'enfant a vacciner par flacon jamais atteint,Number of children to be vaccinated per vial never reached,NA
4953,ecv2021,4953,PARESSE DE LA  MERE,LAZINESS OF THE MOTHER,NA
4954,ecv2021,4954,CRAINTE DU VACCIN CONTRE COVID,Fear of the COVID vaccine,NA
4955,ecv2021,4955,CS FERME,CS CLOSED,NA
4956,ecv2020,4956,ELLE ATTEND LE NEUVI�ME MOIS,SHE IS WAITING FOR THE NINTH MONTH,NA
4957,ecv2020,4957,MANQUE DE TEMP,LACK OF TIME,NA
4958,ecv2022,4958,DEPLACEMENT DU MENAGE,Household move,NA
4959,ecv2021,4959,VOYAGER AVEC L'ENFANT,Traveling with the child,NA
4960,ecv2020,4960,Un long d�placement pour le deuil de mon grand fr�re,A long journey for the mourning of my big brother,NA
4961,ecv2020,4961,VACCINATION  EN COURS,VACCINATION IN PROGRESS,NA
4962,ecv2020,4962,LE NOMBRE INSUFFISANT D ENFANT POUR AVOIR LE VAA ET VAR,The insufficient number of children to have the VAA and VAR.,NA
4963,ecv2020,4963,Rupture en rotavirus et l enfant veut achever son calendrier de mangwele,Rupture in rotavirus and the child wants to complete his mangwele calendar,NA
4964,ecv2022,4964,ENFANT AMENER AU CHAMP PENDANT UNE LONGUE PERIODE,CHILD TAKEN TO THE FIELD FOR A LONG PERIOD,NA
4965,ecv2020,4965,"Nos encetres ne se fesaient pas vacciner et vivez bien de meme que nous, nous suivons leurs chemins","Our ancestors did not get vaccinated and lived well just as we do, we follow their path.",NA
4966,ecv2020,4966,Reste les vaccins de 9mois,Remain the 9-month vaccines,NA
4967,ecv2021,4967,LA MERE AVAIT VOYAGÉ,THE MOTHER HAD TRAVELED,NA
4968,ecv2020,4968,Multiples occupations m�re,Multiple occupations mother,NA
4969,ecv2020,4969,Neglgence de la mere de l'enfant,Negligence of the child's mother,NA
4970,ecv2021,4970,GREVE AU CENTRE DE SANTE,STRIKE AT THE HEALTH CENTER,NA
4971,ecv2020,4971,FI�VRE ET DIARRH�E,FEVER AND DIARRHEA,NA
4972,ecv2020,4972,ELLE EST SOUVENT AUX ET ELLE N A PAS DE TEMPS POUR L AMENER AUX VACCINS,SHE IS OFTEN ABROAD AND SHE DOESN'T HAVE TIME TO TAKE HER FOR VACCINATIONS,NA
4973,ecv2021,4973,RUPTURE DES INTRAT,RUPTURE OF THE INTRAT,NA
4974,ecv2020,4974,OCCUPATIONS POUR LA SURVIE,SURVIVAL OCCUPATIONS,NA
4975,ecv2020,4975,DEMENAGEMENT DE LA FAMILLE,THE FAMILY'S MOVE,NA
4976,ecv2022,4976,RECU MAIS NON MENTIONNE SUR LA FICHE,RECEIVED BUT NOT MENTIONED ON THE RECORD,NA
4977,ecv2021,4977,HAINE TRIBALE,Tribal Hatred,NA
4978,ecv2020,4978,FAIBLE POIDS DE L ENFANT,Low child weight,NA
4979,ecv2021,4979,JUSTE UNE PETITE OCCUPATION  PUIS L'OUBLIE ET LA NEGLIGENCE,JUST A LITTLE OCCUPATION THEN FORGETFULNESS AND NEGLECT,NA
4980,ecv2021,4980,LA GEURRE  REPETEE A TOUT MOMENT,WAR REPEATED AT ANY MOMENT,NA
4981,ecv2020,4981,L'enfant na pas encore totalis� l'�ge pour d'autre vaccin,The child has not yet reached the age for another vaccine.,NA
4982,ecv2020,4982,"Ma fille a tout re�u m�me de 9 mois,","My daughter received everything even at 9 months old,",NA
4983,ecv2020,4983,DANS LE VACCIN IL Y A LA MALADIE QUE LES L'HOMME BLANC CHERCHE A CONTAMINE LES NOIR AVEC �A,IN THE VACCINE THERE IS THE DISEASE THAT WHITE MEN ARE TRYING TO INFECT BLACK PEOPLE WITH,NA
4984,ecv2022,4984,VOYAGE QUI CHERCHE A LA FORET CARRIERE,JOURNEY SEEKING A FOREST QUARRY,NA
4985,ecv2020,4985,HABITE LES �LO,LIVE IN HEAVEN,NA
4986,ecv2021,4986,DEMENAGEMENT DES PARENTS DE LEUR MILIEU HABITUEL,RELOCATION OF PARENTS FROM THEIR USUAL ENVIRONMENT,NA
4987,ecv2022,4987,DEPLACEMENT FAMILLIAL,FAMILY MOVE,NA
4988,ecv2021,4988,MERE DESINTERESSEE DE LA VACCINATION,Disinterested Mother Regarding Vaccination,NA
4989,ecv2021,4989,LES VACCINATEURS NE SONT  PAS VENU,THE VACCINATORS DID NOT COME,NA
4990,ecv2020,4990,ELLE ETAIT AU FLEUVE,SHE WAS AT THE RIVER,NA
4991,ecv2022,4991,DEPLACEMENT DE LA MERE ET ENFANT,MOVEMENT OF THE MOTHER AND CHILD,NA
4992,ecv2020,4992,Manquer d' argent pour pes�,Lack of money to fish.,NA
4993,ecv2020,4993,D�PLACEMENT DE LSHI,MOVEMENT OF LSHI,NA
4994,ecv2021,4994,PERSONNELLEMENT,Personally,NA
