survey,random_order,reason,translation,roy_categorized
ecv2022,4984,VOYAGE QUI CHERCHE A LA FORET CARRIERE,,
ecv2020,4985,HABITE LES �LO,,
ecv2021,4986,DEMENAGEMENT DES PARENTS DE LEUR MILIEU HABITUEL,,
ecv2022,4987,DEPLACEMENT FAMILLIAL,,
ecv2021,4988,MERE DESINTERESSEE DE LA VACCINATION,,
ecv2021,4989,LES VACCINATEURS NE SONT  PAS VENU,,
ecv2020,4990,ELLE ETAIT AU FLEUVE,,
ecv2022,4991,DEPLACEMENT DE LA MERE ET ENFANT,,
ecv2020,4992,Manquer d' argent pour pes�,,
ecv2020,4993,D�PLACEMENT DE LSHI,,
ecv2021,4994,PERSONNELLEMENT,,
ecv2020,4995,JE NE JAMAIS  ATTENDU  UN  COMMUNIQU�  CONCERNANT  LA VACCINATION,,
ecv2020,4996,TOUTE LA FAMILLE ETAIT AU CAMPEMENT,,
ecv2020,4997,IL A 6MOIS,,
ecv2021,4998,CAMPAGNE AGRICOLE,,
ecv2020,4999,J'�tais en d�placement pour le deuil de mon p�re.,,
ecv2022,5000,SEJOURS DE LA FAMILLE AU CHAMPS AU CHAMPS,,
ecv2020,5001,Rotavirus n'�tait pas introduit,,
ecv2020,5002,La programmation des prestataires,,
ecv2020,5003,VOYAGE  DE LA MERE,,
ecv2022,5004,LE DEPLACEMENT DU A LA GUERRE,,
ecv2021,5005,Le dece  de son  pere,,
ecv2020,5006,IL ATTEND SON DERNIER RDV,,
ecv2022,5007,ACTIVITÉS CHAMPÊTRE,,
ecv2020,5008,Ce la p�riode qu'il faut se donner au champs,,
ecv2020,5009,ELLE  N A PAS ENCORE ATTEINT 9 MOIS,,
ecv2020,5010,NOUS AVONS REFUS� DE DONNER LE VACCIN � NOTRE ENFANT,,
ecv2020,5011,VU A LA FERME DE KATEMA,,
ecv2020,5012,�tant physique de la m�re,,
ecv2021,5013,MUTATION DES PARENTS,,
ecv2021,5014,IMPOSSIBILITE D’OUVRIR LE FLACON,,
ecv2020,5015,L'enfant � encore 8 mois,,
ecv2022,5016,NOMBREUX DEPLACEMENT,,
ecv2022,5017,PEUR DE COVID,,
ecv2021,5018,VACCINS NON MENTIONNE SUR LA CARTE MAIS MERE RECONNAIT QUE L ENFANT A EU TOUS CES VACCINS,,
ecv2020,5019,OUBLIE DE L'INFIRMIER,,
ecv2021,5020,ABSEN E DE LA MÈRE GARDIENNE,,
ecv2020,5021,A pass� tout son temps au champs,,
ecv2020,5022,LE PAPA DE L ENFANT GRAVEMENT  MALADE,,
ecv2020,5023,PAS DE SEANCE DE VACCINATION ORGANISEE PAR LA STRUCTURE,,
ecv2020,5024,PAS D'HABITATION FIXE,,
ecv2020,5025,PEUR,,
ecv2020,5026,Les dates invalides,,
ecv2020,5027,D�PLACEMENT DE L'ENFANT,,
ecv2020,5028,N'A PAS ENCORE ATTEINT 9MOIS,,
ecv2020,5029,LE MARI N'AIME PAS,,
ecv2020,5030,DEPLACEMENT DE  LA MERE,,
ecv2022,5031,DECES DE SA MERE,,
ecv2020,5032,Henriette n'a pas encore totalis� les 9 mois r�volus.,,
ecv2021,5033,MERE DECEDEE,,
ecv2022,5034,PERTE DE LA CARTE,,
ecv2022,5035,LA STRUCTURE  FERME A CAUSE DE LA GREVE,,
ecv2020,5036,MES PR�C�DENTS ENFANTS R�AGISSAIENT MAL AUX VACCINS,,
ecv2022,5037,ABSENCE DE PRISE EN CHARGE DES EFFETS SECONDAIRES DES VACCINS,,
ecv2021,5038,ROTA 1TET2 non mentionnés,,
ecv2020,5039,Les s�ances de vaccination ne sont pas encore organismes,,
ecv2020,5040,Mouvement des parents de l'enfant,,
ecv2020,5041,Quand nous allons aux r�unions de congr�gation et qu'on vaccine apr�s nous.,,
ecv2022,5042,VACCINE MAIS PAS INSCRIT SUR LA  CARTE,,
ecv2022,5043,CS DEMANDE L'ARGENT POUR GÉRER LES EFFETS SECONDAIRES DUS AU VACCIN,,
ecv2021,5044,IL N'Y A PAS DE CENTRE DE SANTÉ  AU PÂTURAGE,,
ecv2021,5045,PARENT DEPLACE,,
ecv2020,5046,PAS D OSTACLE SAUF QUE LA CARTE ET PERDUE,,
ecv2020,5047,Je n'ai pas assez du temps.,,
ecv2020,5048,Il aura au 9ieme mois,,
ecv2020,5049,A CAUSE DU VOYAGE DE SA MERE,,
ecv2020,5050,MANQUE DE 500,,
ecv2020,5051,VAA ET VAR POUR DEMAIN LE 20/10/2020,,
ecv2020,5052,L ENFANT EST NE AILLEURS,,
ecv2020,5053,M�RE INDISPONIBLE,,
ecv2022,5054,OUBLIE,,
ecv2021,5055,APRÈS INJECTION DU VACCIN MON ENFANT EST TOMBE MALADE ET J AI JUGE BON D ARRÊTER LA VACCINATION,,
ecv2020,5056,"CALENDRIER VACCINAL EN COURS,  LA M�RE AVAIT VOYAG�",,
ecv2021,5057,FAIBLESSE DE PARENT,,
ecv2021,5058,SEPARATION DE LA MERE DE L'EMFANT ET SON MARI ET LA MERE GARDIENNE RWTOUNNE AU VILLAGE DE SA MERE CREANT UN DEPLACEMENT DE LA MERE GARDIENNE,,
ecv2021,5059,HANDICAP PHYSIQUE DE LA MERE,,
ecv2020,5060,CALEBDRIER ENCOURS,,
ecv2020,5061,Ennuie de se rendre au centre de sant�,,
ecv2020,5062,La maman �tait absente lors de la vaccination,,
ecv2020,5063,DEPLACEMENT DES PARENTS,,
ecv2022,5064,ENFANT VACCINE EN ANGOLA,,
ecv2022,5065,BCG NON ADMINISTRE,,
ecv2021,5066,SEANCE  NON  CONNUE  PAR LA MERE,,
ecv2021,5067,Refoulement,,
ecv2020,5068,DECOURAGEMENT SUITE AU DECES DU PERE DE L'ENFANT,,
ecv2020,5069,Les deplacements de la m�re,,
ecv2020,5070,DEPLACEMENT DE LA MERE DE L'ENFANT,,
ecv2020,5071,NABOSANAKI,,
ecv2020,5072,M�re dans le campement,,
ecv2020,5073,REFUS DE REPONDRE,,
ecv2020,5074,M�re en voyage,,
ecv2021,5075,DÉPLACEMENT DE LA MÈRE ET SON ENFANT,,
ecv2020,5076,A CAUSE DES SORTIE ALA RECHERCHE DE MARCHANDISES A MBUJI MAYI,,
ecv2020,5077,CELA EST DU A SON AGE IL N A QUE SIX MOIS,,
ecv2021,5078,LA MEME RAISON,,
ecv2021,5079,CHANGEMENT MILLIERS,,
ecv2021,5080,VOYAGE Â KINSHASA,,
ecv2020,5081,On avait un petit probl�me dans le village.,,
ecv2020,5082,L'oublie et la paresse,,
ecv2020,5083,COMMERCE DE LA MERE,,
ecv2020,5084,HABITENT DANS LES IL� POUR RAISONS DE PECHE,,
ecv2020,5085,APR�S LA MORT D'UN ENFANT BIEN VACCIN�,,
ecv2020,5086,INTOXICATION,,
ecv2020,5087,Rupture RN rotavirus au niveau de antenne et reste la derni�re dose de VAA etVAR,,
ecv2020,5088,Enfant pas encore 9 mois,,
ecv2020,5089,FAUTE DES MOYENS DE TRANSPORT,,
ecv2022,5090,DEPLACEMENT DE LA MERE ET L ENFANT AU CHAMP,,
ecv2021,5091,NE CROIS PAS A LA VACCINATION LES INJECTIONS,,
ecv2022,5092,REFUS DE PAPA,,
ecv2022,5093,GREVE DE CORPS SOIGNANTS 2021,,
ecv2020,5094,DEPLACEMENT DES PARE'NTS,,
ecv2020,5095,D�PLACEMENT EN FAMILLE,,
ecv2022,5096,ABSENT,,
ecv2020,5097,ENFANT NEE EN OUGANDA ET BLOQU�E LORS DE CONFINEMENT,,
ecv2020,5098,OCCUP� AUX TRAVAUX  CHAMP�TRES,,
ecv2020,5099,D�plac� de guerre,,
ecv2022,5100,VOYAGE DES PARENTS KINDU VERS KISANGANI,,
ecv2020,5101,MULTIPLE DEPLACEMENT DE LA MERE,,
ecv2020,5102,PAS DE SEANCE DE VACCINATION ORGANISEE DEPUIS LE DEBUT DE COVID,,
ecv2020,5103,AGE ENCORE MOIN,,
ecv2020,5104,M�re absente lors d'une seance,,
ecv2021,5105,NOUS ÉTIONS AU CHAMP,,
ecv2022,5106,PAS VACCINE,,
ecv2021,5107,ATTENDS RENDEZ VOUS,,
ecv2022,5108,Site de vaccination dans le village en conflits avec le notre,,
ecv2021,5109,CONFINEMEMNT,,
ecv2020,5110,Nous �tions une fois � la campagne,,
ecv2022,5111,LA MERE ETAIT AU CHAMPS AVEC ENFANT,,
ecv2022,5112,INFIRMIERE MALADE,,
ecv2020,5113,MERE DE L'ENFANT PASSE PLUS LE TEMPS AU CHAMP LOIN DU CENTRE,,
ecv2022,5114,LA MERE EST  À  KIN,,
ecv2020,5115,L ENFANT N A PAS ATTEINT 9 MOIS,,
ecv2020,5116,L'enfant n'a pas encore atteint 9 pour recevoir VAR,,
ecv2020,5117,CALENDRIE VACCINAL EN COURS,,
ecv2020,5118,Le demenagement,,
ecv2021,5119,DEPLACEMENT  A LA FERME,,
ecv2021,5120,NOUS RESTONS BEAUCOUP DANS LA FORÊT,,
ecv2022,5121,NOMBRE D'ENFANTS NON ATTEINT POUR L'OUVERTURE DU FLACON DE VAR,,
ecv2020,5122,S�paration des parents,,
ecv2021,5123,A CAUSE DE VOYAGES REPETES,,
ecv2020,5124,VOYAGE � KINSHASA,,
ecv2022,5125,DEPLACEMENT DE TOUTE LA FAMMILLE,,
ecv2020,5126,NOUS VIVONS AU CHAMPS,,
ecv2022,5127,DÉMÉNAGEMENT DE PARENTS,,
ecv2020,5128,ENFANTS PAS AMENE,,
ecv2022,5129,DEPLACEMENT DU MENAGEVERS UN AUTRE VILLAGE,,
ecv2020,5130,"L' enfant �tait malade, amen� � kananga pour le soins",,
ecv2021,5131,DATE NON MENSIONNEE,,
ecv2020,5132,"D�placement de la m�re dans la ville,il ya de cela 13mois",,
ecv2020,5133,DOCHA n'a eu qu'un vaccin depuis la naissance,,
ecv2021,5134,VPO NON A LA NAISSANCE,,
ecv2022,5135,FAIBLESSES D'ALLE,,
ecv2022,5136,DEPLACEMENT DES PARENTS VERS KAMBOVE,,
ecv2020,5137,L'infirmier a dit c'est termin� pour l'enfant,,
ecv2021,5138,MALADIE DE LA MERE,,
ecv2021,5139,L'ENFANT N'A ENCORE ATTEINTE L'AGE DE 9MOIS,,
ecv2020,5140,J'�tais en d�placement pour le deuil.,,
ecv2021,5141,REFUS DE DONNER LES VACCINS A DEUX REPRISES,,
ecv2021,5142,EN VOYAGE PROPOSE PRENDRE LE VACCIN LA SEMAINE PROCHAINE,,
ecv2020,5143,PROBL�ME DE CONFINEMENT,,
ecv2020,5144,Nous suivons le programme du centre,,
ecv2020,5145,M�RE OCCUP�E PAR DES TRAVAUX CHAMP�TRES,,
ecv2022,5146,"LE VOYAGE, NOIS AVONS VOYAGE POUR VENIR ICI A ANGAMAPASA",,
ecv2022,5147,NÉGLIGENCE DE LA MÈRE,,
ecv2021,5148,LA MAMAN  EN DÉPLACEMENT,,
ecv2022,5149,RUPTURE EN STOCK,,
ecv2022,5150,LA GREVE,,
ecv2021,5151,NOUS RESTONS SOUVENT AU CAMPEMENT POUR LES TRAVAUX CHAMPETRE,,
ecv2020,5152,BIARIDI. n'a pas encore totalis� 9 mois pour recevoir le VAR et VAA.,,
ecv2020,5153,PAS D'INFORMATIIN SUR LA VACCINATION DE ROUTINE,,
ecv2020,5154,PAS DE TEMPS D'ALLER AU CENTRE,,
ecv2020,5155,VOYAGE DES PARENTS SUITE A LA MALADIE DE SON PERE,,
ecv2021,5156,MANQUE DE COURAGE POUR AMENER L'ENFANT LA VACCINATION,,
ecv2020,5157,MAWAZO A ENCORE 6MOIS,,
ecv2020,5158,Vaccination en cours coupl� � la crainte de d�velopper les autres maladies avant 4 mois.,,
ecv2020,5159,ENFANT EN COUR DE VACCINATION,,
ecv2020,5160,POUR RAISON DE DEPLACEMENT,,
ecv2021,5161,A cause de la greve des infermiers,,
ecv2020,5162,L'enfant na pas totalis� l'�ge pour d'autre vaccin,,
ecv2020,5163,RUPTURE ROTA et ATTENTE DU VAA et VAR,,
ecv2020,5164,Le papa n'aime n'a pas des raison,,
ecv2020,5165,OUBLI LE RENDEZ-VOUS FIXE SUITE AUX OCCUPATIONS FAMILIALES,,
ecv2021,5166,REFUS DESTUTEURS,,
ecv2022,5167,MERE ET L ENFANT AU CHAMP PENDANT UN LONG MOMENT,,
ecv2020,5168,VACCIN ROTAVIRUS N'ETAIT PAS DISPONIBLE A L'EPOQUE,,
ecv2020,5169,Je voyage trop avec lui,,
ecv2022,5170,NEGLUGENCE DE LA MERE,,
ecv2021,5171,CONFLIT TWA ET BANTU,,
ecv2020,5172,L'enfant suit encore ses vaccins car il a 7mois.,,
ecv2021,5173,LA MERE A VOYAGE AVEC L'ENFANT,,
ecv2020,5174,ME RETROUVE SURCHARGER,,
ecv2021,5175,LES VACCINS DONNE DES MALADIES,,
ecv2020,5176,A CAUSE DE NOTRE DEPLACEMENT DE LIKASI VERS LUBUMBASHI,,
ecv2020,5177,INDISPONIBLE,,
ecv2020,5178,LES PARENTS DES ENFANTS RESTENT DANS LES CAMPEMENTS,,
ecv2020,5179,"Leur papa  m'a laisser avec la grossesse alors je 
me suis donner seulement aux travaux des champs",,
ecv2022,5180,PARESSE DE LA MERE,,
ecv2021,5181,PAS DE CONFIANCE AUX PRESTATAIRES AYANT DES CAMPS POLITIQUE DIFFÉRENTS QUE LES PARENTS,,
ecv2020,5182,Calendrier de  vaccination en cours,,
ecv2020,5183,VA CCIN EN  COURS,,
ecv2021,5184,A CAUSE DEPLACEMENT,,
ecv2020,5185,MERE EN VOYAGE,,
ecv2021,5186,DÉPLACEMENTS DES PARENTS,,
ecv2020,5187,DISPUTE AVEC SON MARI,,
ecv2021,5188,PAS MENTIONNE,,
ecv2022,5189,A ACOUCHE A LA MAISON ET NE CONNAISSANT PAS IMPORTANCE  DE LA VACCINATION,,
ecv2020,5190,Enfant attend le 1er d�cembre pour recevoir ce qui lui manque,,
ecv2022,5191,PAS NOTE,,
ecv2020,5192,"Apr�s quelques s�ances de vaccination que l'enfant avait benefici�es, � chaque fois il y'a eu de fortes fi�vres, voil� le motif d'interruption",,
ecv2021,5193,Personnel en greve depuis plus de 4 mois,,
ecv2020,5194,LE CS N'ORGANISE PLUS LES STRATEGIES AVANCEES,,
ecv2020,5195,PAR ENNUIE,,
ecv2021,5196,MERE EN VOYAGE DANS LA BROUSSE,,
ecv2020,5197,L'ENFANT N'AS PAS ENCORE ATTEINT 9MOIS,,
ecv2020,5198,TRES OCCUPE AU CHAMPS,,
ecv2020,5199,LA FAMILLE EN D�PLACEMENT,,
ecv2021,5200,GREVE DES INFIRMIERS ET MÈRE OCCUPÉE,,
ecv2020,5201,RENDEZ-VOUS MANQU� POUR LE VACCIN DE 9MOIS,,
ecv2022,5202,NON INFORMATION DE LA GRATUITE DE LA VACCINATION,,
ecv2020,5203,REFUS DE SA MERE,,
ecv2020,5204,D�PLACEMENT A CAUSE DU CORONA VIRUS,,
ecv2020,5205,La maman a estime que son enfant avait d�j� fini son calendrier vaccinal,,
ecv2020,5206,EPOUX MALADE,,
ecv2021,5207,DE DÉPLACEMENT,,
ecv2022,5208,MÈRE DE D'ENFANT TRÈS MALADE,,
ecv2020,5209,L'enfant est � cour de vaccination,,
ecv2020,5210,n�gligence de m�re,,
ecv2022,5211,CHAINE DE FROID EN PANNE,,
ecv2021,5212,SON PAPA REFUSE,,
ecv2020,5213,ABSENCE DES PARENTS POUR LES ACTIVIT�S DE SURVIE,,
ecv2020,5214,EMPECHEMENT,,
ecv2020,5215,l'�ge de l'enfant,,
ecv2020,5216,Suit son calendrier qui est en cours et reste avec la dernier dose .,,
ecv2020,5217,Vaccin absent,,
ecv2020,5218,"Sortie intempestive pour le salaire � kindu,",,
ecv2020,5219,L'enfant compl�tement vaccin� mais la m�re a de la confusion quant au nombre de fois qu'un vaccin a �t� administr�.,,
ecv2020,5220,IGNORENCE DE L EXISTENCE DES VACCINS DE ROUTUNE,,
ecv2022,5221,"LA MAMAN S EST ACCOUCHE AU VILLAGE KAMIKOLO,OU ELLE ETAIT PARTI FAIRE LE CHAMP,VILLAGE DEPOURVU DE SERVICE DE VACCINATION",,
ecv2020,5222,L'ENFANT N'EST PAS A L'AGE DE RECEVOIR D'AUTRE VACCIN,,
ecv2021,5223,N'A PAS EU LE RENDEZ-VOUS,,
ecv2021,5224,CARTE CHEZ SON PERE,,
ecv2020,5225,D�placement de la m�re du village vers Kisangani,,
ecv2022,5226,DÉPLACEMENT  DU MENAGE (LES PÊCHEURS  QUI CHANGENT  LES CAMPEMENTS),,
ecv2022,5227,LA PARESSE DE LA MAMAN,,
ecv2022,5228,Le rendez-vous est arrivé l'enfant en voyage,,
ecv2020,5229,L'enfant est compl�tement vaccin�  le vaccin  rotavirus est arrive peu apr�s la fin du calendrier vaccinal chez l'enfant.,,
ecv2020,5230,ROBERT n'a pas encore totalis� 9 mois pour recevoir VAR et VAA.,,
ecv2020,5231,IGNORANCE DE L'IMPORTANCE DE VACCINATION,,
ecv2022,5232,PAS DE MOYEN POUR FAIRE VACCINER L ENFANT,,
ecv2022,5233,LOURDEUR DE LA MERE,,
ecv2022,5234,VOYAGE OPIENGE VISITE FAMILIALE,,
ecv2020,5235,�ge inf�rieur � l'�ge de 9 mois,,
ecv2020,5236,- 9MOIS,,
ecv2022,5237,NEGLIGENCE DE LA MERE,,
ecv2021,5238,OCCUPATION DE LA MERE,,
ecv2022,5239,PROVOQUE LES MALADIES,,
ecv2020,5240,Je passe la plupart de mon temps aux travaux champ�tre.,,
ecv2020,5241,Negligence des parents,,
ecv2020,5242,L'enfant est allergique,,
ecv2020,5243,Nous �tions au champs,,
ecv2022,5244,VOYAGE AVEC L ENFANT,,
ecv2021,5245,LES INFIRMIERS A GREVE,,
ecv2021,5246,ENFANT VIENT  DE LA R. CONGO,,
ecv2020,5247,D�PLACEMENT DU P�RE DE L'ENFANT,,
ecv2020,5248,L'enfant n'a que 6 mois,,
ecv2020,5249,Attend le 9 ieme mois,,
ecv2020,5250,COVID,,
ecv2020,5251,D�placement  intempestif de la m�re et enfant au champ,,
ecv2020,5252,LIEU DE VACCINATION TROP ELOIGNE,,
ecv2021,5253,MERE ET ENFANT  EN VOYAGE,,
ecv2022,5254,DEPLACEMENT VERS LE CHAMPS,,
ecv2021,5255,CRAINTES DE VACCINS CONTRE LE  COVID19,,
ecv2020,5256,CRAINTE A CAUSE DE EBOLA,,
ecv2020,5257,Nous �tions dans la for�t,,
ecv2020,5258,Permutation de son Mari au travail,,
ecv2020,5259,N�GLIGENCES DES PARENTS,,
ecv2020,5260,Enfant en  cours de vaccination,,
ecv2020,5261,6 MOIS,,
ecv2020,5262,refus des Vaccins injectables par les parents,,
ecv2020,5263,N'AS PAS ENCORE TOTALISE NEUF MOIS,,
ecv2020,5264,JE PR�F�RE QUON VIENNE VACCINE MON ENFANT A LA MAISON,,
ecv2020,5265,ENFANT ETAIT MALADE LE JOUR DE RENDEZ-VOUS,,
ecv2020,5266,Il est en cours.,,
ecv2021,5267,"T0US LES VACCINS RECU,MAIS PAS MENTIONNES",,
ecv2020,5268,J'ETAIS LOIN DU CENTRE DE SANT� � LA NAISSANCE DE ALBERT,,
ecv2020,5269,M�re n'a pas emmen� l'enfant pour recevoir VPO0,,
ecv2021,5270,IT NE M 'AS PAS DIT DE RENTRE POUR LA VACCINATIONS,,
ecv2021,5271,LA MORT DE MON ENFANT,,
ecv2021,5272,COMPLÈTEMENT  VACCINEE,,
ecv2020,5273,VU SOn �GE CLEVA N'EST PEUX. PAS RECEVOIR LE VAA ET LE VAR,,
ecv2022,5274,LA FAMILLE  S'ÉTAIT  DÉPLACÉE VERS MUENA DITU  EN RAISON  DU DÉCÈS  DE L'UN DES MEMBRES DE LA FAMILLE,,
ecv2020,5275,�ge inf�rieur pour cette cet �ge,,
ecv2020,5276,�TAIT  � L'INT�RIEUR  DE KIZUMU VILLAGE SANS STRUCTURE  SANITAIRE,,
ecv2021,5277,REFUS VOLONTAIRE,,
ecv2020,5278,OUBLIE DE RENDEZ VOUS,,
ecv2021,5279,Nous sommes venues de l Angola,,
ecv2020,5280,Les vaccins injectables donnes des maladies aux enfants,,
ecv2020,5281,CHANGEMENT DU VILLAGE,,
ecv2021,5282,AMENE  L'ENFANT  A LA VACCINATION  SANS CARTE,,
ecv2021,5283,MAMAN EN DÉPLACEMENT POUR LE CHAMPS ET GREVE DES INFIRMIERS,,
ecv2020,5284,TOUS NOS ENFANTS NE SONT JAMAIS VACCINER MAIS PAS DU TOUT DES RAISONS MAJEUR,,
ecv2020,5285,J'�tais en d�placement.,,
ecv2021,5286,OUBLIE LE RDV,,
ecv2021,5287,AUCCUPATION AU CHAMP,,
ecv2020,5288,LA  DATE N EST PAS VISIBLE,,
ecv2020,5289,NE CONNAIT QUANQ EST CE LES RELAIS CRIE,,
ecv2021,5290,DEPLACEMENT DE LA FAMILLE,,
ecv2020,5291,M�RE D�C�D�E,,
ecv2020,5292,J'�tais partie chez-nous avec l'enfant quand les conflits tribunal ont commenc�.,,
ecv2020,5293,TRES OCCUP�E,,
ecv2021,5294,MALADIE DE SON MARI,,
ecv2022,5295,VOYAGE À MUSHI,,
ecv2021,5296,VOYAGES MERE,,
ecv2021,5297,IRRÉGULARITÉ DE SERVICES DE VACCINATION DE ROUTINE OU CPS AU CS,,
ecv2020,5298,IL A 8 MOIS,,
ecv2020,5299,LA MERE N'A PAS ETE INFORMER,,
ecv2020,5300,LE FAIT DE VOULOIR QU'ON SOIT NOMBREUSES POUR PROC�DER � LA VACCINATION,,
ecv2020,5301,EXODE RURAL,,
ecv2020,5302,Nous ne sommes pas inform� des joues de vaccination,,
ecv2021,5303,MERE PARESEUSE,,
ecv2020,5304,NELGLIGENCE,,
ecv2022,5305,CONFLIT TRIBAL DANS L AIRE DE SANTÉ,,
ecv2020,5306,DEPLACEMENT DE LA MERE AU FLEUVE AVEC SON ENFANT,,
ecv2022,5307,ENFANT VENU D'UN CAMPAMENT ET NON VACCINE,,
ecv2021,5308,PROBLEME FINANCIER,,
ecv2020,5309,AU CHAMPS,,
ecv2022,5310,REFUS DE PARENTS,,
ecv2021,5311,LA  MERE CONFIRME QUE SON ENFANT A PRIS TOUS LES VACCINS MEME SI PAS MENTIONNE SUR LA FICHE,,
ecv2022,5312,NOMBRE REDUIT DE BENEFICIAIRE ET L INFIRMIER REFUSE D ADMINITRER LE VACCIN,,
ecv2022,5313,PARESSE DE LA MÈRE POUR LA SUITE DE LA VACCINATION,,
ecv2022,5314,CONFLIT,,
ecv2020,5315,L'ENFANT HOSPITALIS� PENDANT PLUS D'UN MOIS,,
ecv2020,5316,CHRISTINE n'a encore que 7mois,,
ecv2020,5317,Les vaccins apportent des maladies aux enfants,,
ecv2021,5318,MANQUE DES MOYENS FINANCIERS,,
ecv2021,5319,VOYAGE DE TOHT LE MENAGE,,
ecv2020,5320,Nous refusons avec les enfants pcq apr�s la vaccination les enfants tombent malades et la structure ne les prend pas e' charge gratuitement,,
ecv2020,5321,M�re en d�placement avec L'ENFANT,,
ecv2020,5322,PAS TOTALISE 9 MOIS,,
ecv2020,5323,ELLE ATTEND LE PROCHAIN RENDEZ VOUS POUR LES VACCINS DE 9 MOIS,,
ecv2020,5324,L'enfant �tait encore tr�s jeune,,
ecv2020,5325,ENFANT MOIN DE 6 MOIS CALENDRIER VACCINAL EN COURS,,
ecv2021,5326,DEPLACEMENT VERS KINSHASA,,
ecv2022,5327,ENFANT A TOUT REÇU,,
ecv2021,5328,COMPLÈTEMENT VACCINÉ CARTE  PERDUE,,
ecv2021,5329,N'A JAMAIS ETAIT EN CONTACT AVEC LES VACCINS,,
ecv2020,5330,LE CS N'INFORME PAS LE JOUR DE LA VACCINATION,,
ecv2021,5331,COCID19,,
ecv2021,5332,REFUS  DEL AGENT VACCINATEUR SUITE A LA PERTE DE LA CARTE DE VACCINATION,,
ecv2021,5333,AUCUNE DATE DE LA VACCINATION NE PAS MENSIONNEE SUR LA FICHE DE VACCINATION,,
ecv2020,5334,L'ENFANT RESTE AVEC LA DOSE DE VAR ET VAA,,
ecv2020,5335,SOUHAITE LE VACCIN ORAL SEULEMENT,,
ecv2021,5336,DECES DU MARI,,
ecv2020,5337,L'enfant n'a pas atteint 09 mois,,
ecv2020,5338,Rupture de VAA,,
ecv2020,5339,DEPLACEMENT DE LA MERE,,
ecv2020,5340,TOUJOURS AU CHAMP PAS LE TEMPS POUR ALLER VACINNER L'ENFANT,,
ecv2020,5341,L'enfant a 7mois son calendrier est en cours.,,
ecv2021,5342,ACCOUCHÉ  DANS MA MAISON IL N ON AUCUN VACCIN MOI MEME JE NE JAMAIS ETE VACCINÉ NOUS TOUS D'AILLEURS DANS NOTRE FAMILLE,,
ecv2020,5343,EN  COURS,,
ecv2022,5344,"LORS DE SEANCES DE VACCINATION,NOUS ETIONS DANS DES CAMPEMENTS",,
ecv2020,5345,ENFANT MOINS DE 9 MOINS POUR RECEVOIR LE VAR ET VAA,,
ecv2020,5346,"MERE D�C�D�E, ENFANT GARD� PAR SA GRAND MERE",,
ecv2020,5347,PEUR DE LA COVID 19,,
ecv2021,5348,MERE ETAIT AU CHAMPS,,
ecv2020,5349,GREVE DE PERSONNEL DE SANTE,,
ecv2021,5350,PENDANT  LA PERIODE DE VACCINATION  IL A EU EXCURSION DES REBELLES,,
ecv2022,5351,VOYAGE  DES ENFANTS,,
ecv2020,5352,N�GLIGEANCE DE LA MAMAN,,
ecv2020,5353,EN ATTENTE DU VACCIN DU 9�ME MOIS,,
ecv2020,5354,LES PATENTS TOUJOURS AU CHAMP,,
ecv2022,5355,L’OUBLIE,,
ecv2020,5356,LE VACCINATEUR  NE PRENNE PAS LA PEINE DE VENIR CHEZ NOUS QUI NE SOMMES PAS SUR LA ROUTE  PRINCIPALE,,
ecv2020,5357,VACCIN ENCORE COURS,,
ecv2020,5358,ON NE M'A PAS DONNE LE ROTAVIRUs,,
ecv2021,5359,DECE DE SON MARI,,
ecv2021,5360,MANQUE D'ARGENT POUR LE JETON DE VACCINATION DE L'ENFANT,,
ecv2020,5361,CORONA,,
ecv2020,5362,MOIINS DE 9MOIS,,
ecv2021,5363,INSTABILITE SECURITAIRE,,
ecv2020,5364,Ignorance,,
ecv2020,5365,L'enfant a 6mois,,
ecv2021,5366,MANQUE DE MOYEN FINANCIER,,
ecv2020,5367,NEGLIGENCE PARENTAL,,
ecv2021,5368,IISECURITE,,
ecv2020,5369,REFUS DE BELLE FAMILLE A FAIRE VACCINER LES ENFANTS,,
ecv2020,5370,RUPTURE DES ANTIG�NES,,
ecv2021,5371,VOYAGE DE L'ENFANT ET SA MERE,,
ecv2020,5372,L' oulie,,
ecv2020,5373,MANQUE D ARGENT ET CONFINEMENT,,
ecv2021,5374,NON MENTION DE VACCIN PAR LE CS SUR LA FICHE,,
ecv2020,5375,MERE EN VOYAGE AVEC SON ENFANT,,
ecv2021,5376,IDEM REPONSE PRECEDENTE,,
ecv2021,5377,VOYAGE  DE LA MERE,,
ecv2021,5378,LA MÈRE N'EST PAS INFORMÉE SUR VACCINATION DE ROUTINE OU CPS,,
ecv2020,5379,D�placement dans les campements,,
ecv2021,5380,INSECURITE A LADYI ET FUITE A BASSANI,,
ecv2021,5381,DEPLACEMENT  PARENTS,,
ecv2020,5382,NEGLIGENCE DESIGN PARENTS,,
ecv2022,5383,VACCINE PAS ECRIT,,
ecv2020,5384,L ENFANT N A PAS ENCORE 9 MOIS,,
ecv2020,5385,"1) TOUJOURS AU CHAMP, 2) JE SUIS EN CONFLIT AVEC L' ANCIEN INFIRMIER TITULAIRE C'EST POURQUOI J'AI D�CID� DE NE PLUS AMENER MON ENFANT",,
